                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.49895,                 1.0536,                 1.0243,                0.95229,                0.94075,                0.97989,                0.94634,                0.43219,                 1.0326,                0.79903,             0.00015723,             0.00015723,             0.00015723
                     77,                0.47953,                0.93153,                0.95891,                 0.9504,                0.94144,                0.98072,                0.94749,                 0.4249,                 1.0354,                0.79671,             0.00015141,             0.00015141,             0.00015141
                     78,                0.49939,                0.85036,                0.93438,                0.94781,                0.94445,                0.97897,                0.94498,                0.42617,                 1.0312,                0.79466,             0.00014559,             0.00014559,             0.00014559
                     79,                0.47315,                0.84484,                0.95315,                0.93115,                0.95328,                0.97843,                0.94596,                0.43067,                 1.0285,                0.79558,             0.00013977,             0.00013977,             0.00013977
                     80,                0.52212,                0.86977,                 0.9773,                0.93168,                0.96364,                0.97951,                0.94746,                0.43321,                 1.0312,                 0.7976,             0.00013395,             0.00013395,             0.00013395
                     81,                 0.4833,                0.86003,                0.90764,                0.93238,                0.95496,                0.97812,                0.94746,                0.43389,                 1.0253,                0.79965,             0.00012813,             0.00012813,             0.00012813
                     82,                0.46775,                0.96681,                0.99845,                0.94021,                0.94686,                0.97846,                0.94755,                0.42995,                 1.0171,                0.79793,              0.0001223,              0.0001223,              0.0001223
                     83,                0.44925,                0.96374,                0.99867,                0.93319,                0.94352,                0.97982,                0.94905,                0.42607,                 1.0126,                0.79574,             0.00011648,             0.00011648,             0.00011648
                     84,                0.44232,                0.87415,                 0.9377,                0.92905,                0.93877,                0.97864,                0.94803,                0.42412,                 1.0109,                0.79419,             0.00011066,             0.00011066,             0.00011066
                     85,                0.47664,                0.84797,                0.94455,                 0.9236,                0.94493,                0.97994,                0.95014,                 0.4193,                 1.0038,                 0.7909,             0.00010484,             0.00010484,             0.00010484
                     86,                0.43107,                0.88641,                0.95477,                0.93115,                0.94191,                0.98112,                 0.9512,                0.41641,                0.99372,                0.79123,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     87,                0.49468,                0.92951,                 1.0119,                0.93651,                0.94553,                0.98036,                0.95125,                0.41526,                0.98261,                0.79226,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     88,                 0.4519,                0.92249,                0.94245,                0.93567,                0.94858,                 0.9826,                0.95343,                0.41541,                0.97749,                  0.794,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     89,                0.41354,                0.98262,                0.98256,                0.93734,                0.95117,                0.98128,                0.95234,                0.41626,                0.97476,                0.79619,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     90,                0.41859,                0.93054,                0.98129,                0.94076,                0.95045,                0.98303,                0.95218,                0.41773,                0.97035,                0.79707,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     91,                0.48327,                 1.2819,                0.98955,                0.93981,                0.94619,                0.98118,                0.94972,                0.42023,                0.96857,                0.79788,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     92,                0.41219,                 1.3242,                0.91347,                0.94183,                0.94712,                0.98122,                0.95211,                0.42174,                0.97282,                0.79673,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     93,                0.50538,                 1.4394,                0.99046,                0.94409,                0.95436,                0.98071,                0.95214,                0.42337,                0.98828,                0.79654,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     94,                0.39544,                   1.26,                0.89963,                0.94226,                0.94686,                0.98166,                0.95262,                0.42071,                 1.0013,                0.79344,              5.245e-05,              5.245e-05,              5.245e-05
                     95,                0.42364,                 1.2233,                0.95896,                0.95266,                0.93877,                0.98112,                0.95201,                0.42146,                 1.0162,                0.79339,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     96,                0.44423,                 1.3108,                0.95253,                0.94965,                0.93877,                0.97949,                 0.9507,                0.42097,                 1.0271,                0.79205,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     97,                0.42782,                 1.2674,                0.96045,                0.95103,                 0.9407,                0.98171,                0.95187,                0.42036,                  1.034,                0.79138,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     98,                0.41033,                 1.2512,                0.93077,                0.95536,                0.93889,                0.98214,                 0.9515,                0.41738,                 1.0311,                 0.7892,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     99,                 0.4082,                 1.1319,                0.91727,                0.95844,                0.93641,                0.98146,                0.95097,                  0.413,                 1.0252,                0.78734,             2.3344e-05,             2.3344e-05,             2.3344e-05
                    100,                0.41734,                 1.2062,                0.95825,                0.95338,                0.93649,                0.97981,                 0.9495,                0.40934,                 1.0209,                0.78573,             1.7522e-05,             1.7522e-05,             1.7522e-05
